Task ID,Task Name,Description,Priority,Deadline,Status,Assignee,Time Taken (hrs),Overdue,Days Until Deadline,Processed_Description,Category,PriorityEncoded,Progress
52,Task 52,Description of task 52,High,2024-12-08 05:31:39,To Do,User2,9,True,-169.0,descript task,Overdue,0.0,0
53,Task 53,Description of task 53,Medium,2025-05-04 05:31:39,Completed,User1,5,True,-22.0,descript task,Overdue,2.0,100
54,Task 54,Description of task 54,High,2025-10-18 05:31:39,To Do,User2,1,False,145.0,descript task,On Time,0.0,0
55,Task 55,Description of task 55,Medium,2025-05-31 05:31:39,To Do,User3,1,False,5.0,descript task,On Time,2.0,0
56,Task 56,Description of task 56,Low,2025-07-26 05:31:39,In Progress,User4,2,False,61.0,descript task,On Time,1.0,50
57,Task 57,Description of task 57,Low,2025-02-19 05:31:39,Completed,User1,6,True,-96.0,descript task,Overdue,1.0,100
58,Task 58,Description of task 58,High,2025-09-05 05:31:39,Completed,User1,9,False,102.0,descript task,On Time,0.0,100
59,Task 59,Description of task 59,Low,2025-01-30 05:31:39,In Progress,User4,8,True,-116.0,descript task,Overdue,1.0,50
60,Task 60,Description of task 60,Low,2025-05-14 05:31:39,In Progress,User1,5,True,-12.0,descript task,Overdue,1.0,50
61,Task 61,Description of task 61,Medium,2025-01-09 05:31:39,Completed,User1,1,True,-137.0,descript task,Overdue,2.0,100
62,Task 62,Description of task 62,High,2025-01-26 05:31:39,Completed,User2,7,True,-120.0,descript task,Overdue,0.0,100
63,Task 63,Description of task 63,Medium,2025-04-08 05:31:39,In Progress,User1,5,True,-48.0,descript task,Overdue,2.0,50
64,Task 64,Description of task 64,Medium,2025-09-05 05:31:39,To Do,User3,6,False,102.0,descript task,On Time,2.0,0
65,Task 65,Description of task 65,Medium,2024-12-23 05:31:39,To Do,User3,7,True,-154.0,descript task,Overdue,2.0,0
66,Task 66,Description of task 66,Medium,2025-03-13 05:31:39,In Progress,User4,3,True,-74.0,descript task,Overdue,2.0,50
67,Task 67,Description of task 67,Medium,2025-01-08 05:31:39,To Do,User1,3,True,-138.0,descript task,Overdue,2.0,0
68,Task 68,Description of task 68,Medium,2025-10-31 05:31:39,In Progress,User4,5,False,158.0,descript task,On Time,2.0,50
69,Task 69,Description of task 69,Medium,2025-09-07 05:31:39,To Do,User3,6,False,104.0,descript task,On Time,2.0,0
70,Task 70,Description of task 70,High,2025-10-22 05:31:39,To Do,User1,9,False,149.0,descript task,On Time,0.0,0
71,Task 71,Description of task 71,Low,2025-04-02 05:31:39,Completed,User1,5,True,-54.0,descript task,Overdue,1.0,100
72,Task 72,Description of task 72,Medium,2025-11-08 05:31:39,Completed,User4,1,False,166.0,descript task,On Time,2.0,100
73,Task 73,Description of task 73,Medium,2025-07-14 05:31:39,To Do,User3,4,False,49.0,descript task,On Time,2.0,0
74,Task 74,Description of task 74,Medium,2025-06-03 05:31:39,To Do,User1,5,False,8.0,descript task,On Time,2.0,0
75,Task 75,Description of task 75,Medium,2025-07-08 05:31:39,Completed,User4,5,False,43.0,descript task,On Time,2.0,100
76,Task 76,Description of task 76,Medium,2025-09-04 05:31:39,Completed,User3,7,False,101.0,descript task,On Time,2.0,100
77,Task 77,Description of task 77,Medium,2025-03-26 05:31:39,Completed,User4,4,True,-61.0,descript task,Overdue,2.0,100
78,Task 78,Description of task 78,Low,2025-03-21 05:31:39,In Progress,User2,1,True,-66.0,descript task,Overdue,1.0,50
79,Task 79,Description of task 79,Low,2025-07-16 05:31:39,To Do,User1,5,False,51.0,descript task,On Time,1.0,0
80,Task 80,Description of task 80,Medium,2025-08-11 05:31:39,Completed,User2,7,False,77.0,descript task,On Time,2.0,100
81,Task 81,Description of task 81,Low,2025-11-19 05:31:39,To Do,User3,6,False,177.0,descript task,On Time,1.0,0
82,Task 82,Description of task 82,High,2025-06-11 05:31:39,In Progress,User2,5,False,16.0,descript task,On Time,0.0,50
83,Task 83,Description of task 83,Medium,2025-04-11 05:31:39,In Progress,User2,4,True,-45.0,descript task,Overdue,2.0,50
84,Task 84,Description of task 84,High,2025-10-09 05:31:39,Completed,User3,2,False,136.0,descript task,On Time,0.0,100
85,Task 85,Description of task 85,High,2025-05-09 05:31:39,In Progress,User4,4,True,-17.0,descript task,Overdue,0.0,50
86,Task 86,Description of task 86,Medium,2025-07-08 05:31:39,To Do,User2,3,False,43.0,descript task,On Time,2.0,0
87,Task 87,Description of task 87,Low,2025-09-28 05:31:39,Completed,User4,1,False,125.0,descript task,On Time,1.0,100
88,Task 88,Description of task 88,High,2025-07-17 05:31:39,To Do,User2,8,False,52.0,descript task,On Time,0.0,0
89,Task 89,Description of task 89,Medium,2025-05-16 05:31:39,To Do,User4,5,True,-10.0,descript task,Overdue,2.0,0
90,Task 90,Description of task 90,High,2025-04-26 05:31:39,In Progress,User3,4,True,-30.0,descript task,Overdue,0.0,50
91,Task 91,Description of task 91,High,2025-10-06 05:31:39,In Progress,User2,8,False,133.0,descript task,On Time,0.0,50
92,Task 92,Description of task 92,High,2025-05-04 05:31:39,In Progress,User3,7,True,-22.0,descript task,Overdue,0.0,50
93,Task 93,Description of task 93,High,2025-03-01 05:31:39,In Progress,User2,2,True,-86.0,descript task,Overdue,0.0,50
94,Task 94,Description of task 94,Low,2025-07-16 05:31:39,In Progress,User3,1,False,51.0,descript task,On Time,1.0,50
95,Task 95,Description of task 95,High,2025-05-24 05:31:39,Completed,User3,4,True,-2.0,descript task,Overdue,0.0,100
96,Task 96,Description of task 96,High,2025-03-18 05:31:39,To Do,User2,8,True,-69.0,descript task,Overdue,0.0,0
97,Task 97,Description of task 97,High,2025-10-09 05:31:39,To Do,User2,2,False,136.0,descript task,On Time,0.0,0
98,Task 98,Description of task 98,Low,2025-01-16 05:31:39,To Do,User2,3,True,-130.0,descript task,Overdue,1.0,0
99,Task 99,Description of task 99,High,2025-08-20 05:31:39,To Do,User1,1,False,86.0,descript task,On Time,0.0,0
101,homework,,Medium,2025-05-28 00:00:00,To Do,User1,1,False,,,,,0
102,classwork,,High,2025-05-26 00:00:00,To Do,User1,1,True,,,,,0
103,project,,High,2025-05-26 00:00:00,To Do,User1,1,True,,,,,0
